Date,Open,High,Low,Close,Volume,Adj Close
1/9/2009,1822,1915,1800,1835.65,1000,1788.98
1/8/2009,1900,1900,1900,1900,0,1851.69
1/7/2009,2083,2083,1882,1900,1000,1851.69
1/6/2009,2082,2082.7,2025,2050,600,1997.88
1/5/2009,2077.5,2077.5,2035.1,2059,600,2006.65
1/2/2009,2010,2094.9,2010,2041.5,1000,1989.59
1/1/2009,1981.4,2020,1981.4,2000,500,1949.15
12/31/2008,2015.75,2089.9,1980.15,2002.45,800,1951.54
12/30/2008,1870,2101,1870,2009.85,600,1958.75
12/29/2008,1860.05,1882.8,1852.5,1869,400,1821.48
12/26/2008,1936,1936,1860,1874.2,700,1826.55
12/25/2008,1910.4,1910.4,1910.4,1910.4,0,1861.83
12/24/2008,1936,1944.95,1890,1910.4,1100,1861.83
12/23/2008,1962,1997.65,1920,1958,900,1908.22
12/22/2008,1980,2040,1980,1992.2,1000,1941.55
12/19/2008,2000,2039,1962,1998.95,1600,1948.13
12/18/2008,2011,2049,1960,1997.7,1000,1946.91
12/17/2008,2100,2125,2000,2010,1600,1958.9
12/16/2008,2022,2100,2021.3,2069,800,2016.4
12/15/2008,2075,2149,2050,2083.3,2700,2030.33
12/12/2008,1790,2038,1736,1976.95,2400,1926.69
12/11/2008,1797,1830,1760,1810.85,1400,1764.81
12/10/2008,1750,1794,1750,1772.45,700,1727.39
12/9/2008,1755.9,1755.9,1755.9,1755.9,0,1711.26
12/8/2008,1790,1794.45,1750,1755.9,800,1711.26
12/5/2008,1725,1794,1713.7,1732.3,700,1688.26
12/4/2008,1724.9,1759,1701.8,1740,900,1695.76
12/3/2008,1743,1743,1681,1710.9,600,1667.4
12/2/2008,1660.05,1725,1651.1,1705,800,1661.65
12/1/2008,1677.7,1769,1677.7,1684.95,800,1642.11
11/28/2008,1660.05,1710.85,1660.05,1694.65,400,1651.56
11/27/2008,1703.5,1703.5,1703.5,1703.5,0,1660.19
11/26/2008,1701,1711,1650.6,1703.5,500,1660.19
11/25/2008,1690,1735,1678.4,1724.8,15500,1680.95
11/24/2008,1683.9,1710,1666,1695.35,600,1652.25
11/21/2008,1685,1731,1655.05,1718.3,1900,1674.61
11/20/2008,1680,1777,1680,1692.8,1500,1649.76
11/19/2008,1713,1797,1703,1744.55,700,1700.19
11/18/2008,1743.7,1794,1730.3,1739.7,1300,1695.47
11/17/2008,1883,1900,1788.1,1797.65,1700,1751.94
11/14/2008,1986.35,2001,1890.15,1905.4,800,1856.96
11/13/2008,1970,1970,1970,1970,0,1919.91
11/12/2008,1945.05,2000,1945.05,1970,600,1919.91
11/11/2008,1966,2065,1966,1984.75,800,1934.29
11/10/2008,2001.75,2080,1993,2011.95,2000,1960.8
11/7/2008,1965.05,2080,1965.05,2022,1200,1970.59
11/6/2008,2035,2064,1980,2005.95,1100,1954.95
11/5/2008,2235,2240,2020,2105,2100,2048.56
11/4/2008,2300,2320,2100,2141.3,1800,2083.88
11/3/2008,2090,2159,2073.05,2124.35,1500,2067.39
10/31/2008,2070,2100.05,2010,2043,1000,1988.22
10/30/2008,2036.7,2036.7,2036.7,2036.7,0,1982.09
10/29/2008,2085,2100,2009.15,2036.7,800,1982.09
10/28/2008,2059.95,2088,1940,2067,500,2011.58
10/27/2008,2001.35,2050,1790,1889.8,2400,1839.13
10/24/2008,2251,2263,2010,2063.25,2000,2007.93
10/23/2008,2300,2312,2250.6,2263.75,300,2203.05
10/22/2008,2335,2387.75,2310,2341.8,400,2279.01
10/21/2008,2351,2439,2335.2,2347.55,8800,2284.6
